sku,prueba,pValue
34,bolHoliday vs bolOpen,1.7318154159327416e-126
35,promo vs weekday,0.9963976271454764
35,promo vs bolOpen,0.21936147614122078
35,bolOpen vs weekday,1.4197753646033676e-63
35,bolHoliday vs promo,0.2164441517646767
35,bolHoliday vs weekday,2.3304145183459556e-101
35,bolHoliday vs bolOpen,8.802234505173199e-84
36,promo vs weekday,0.9977988392572147
36,promo vs bolOpen,0.17633703703875006
36,bolOpen vs weekday,3.8131490104066284e-108
36,bolHoliday vs promo,0.14029936125796608
36,bolHoliday vs weekday,1.0264911765858248e-100
36,bolHoliday vs bolOpen,1.3606389235983703e-135
37,promo vs weekday,0.9997264315844906
37,promo vs bolOpen,0.9351622818049539
37,bolOpen vs weekday,1.4197753646033676e-63
37,bolHoliday vs promo,0.7493364392786852
37,bolHoliday vs weekday,2.3304145183459556e-101
37,bolHoliday vs bolOpen,8.802234505173199e-84
38,promo vs weekday,0.9987913111676995
38,promo vs bolOpen,0.766738601291295
38,bolOpen vs weekday,1.4716538428470416e-106
38,bolHoliday vs promo,0.6613841149432883
38,bolHoliday vs weekday,2.9785078141445735e-100
38,bolHoliday vs bolOpen,1.2897090329570751e-132
39,promo vs weekday,0.9977988392572147
39,promo vs bolOpen,0.16132249060163972
39,bolOpen vs weekday,1.4197753646033676e-63
39,bolHoliday vs promo,0.2546951755239689
39,bolHoliday vs weekday,2.8100025986200162e-102
39,bolHoliday vs bolOpen,1.0207706142350735e-84
40,promo vs weekday,0.9997264315844906
40,promo vs bolOpen,0.9188147673931524
40,bolOpen vs weekday,1.4716538428470416e-106
40,bolHoliday vs promo,0.9987237029569834
40,bolHoliday vs weekday,2.9785078141445735e-100
40,bolHoliday vs bolOpen,1.2897090329570751e-132
41,promo vs weekday,0.9963976271454764
41,promo vs bolOpen,0.9089644699416238
41,bolOpen vs weekday,1.83111540260858e-80
41,bolHoliday vs promo,0.15679306461227663
41,bolHoliday vs weekday,1.0264911765858248e-100
41,bolHoliday vs bolOpen,1.1303334496506905e-98
42,promo vs weekday,0.9977988392572147
42,promo vs bolOpen,0.23050434049314744
42,bolOpen vs weekday,2.757804202366434e-110
42,bolHoliday vs promo,0.14029936125796608
42,bolHoliday vs weekday,1.0264911765858248e-100
42,bolHoliday vs bolOpen,3.2281194201123404e-129
43,promo vs weekday,0.9934546411020053
43,promo vs bolOpen,0.6645462137815579
43,bolOpen vs weekday,1.9189480866985953e-97
43,bolHoliday vs promo,0.4884511659259563
43,bolHoliday vs weekday,2.791749974823376e-97
43,bolHoliday vs bolOpen,1.7318154159327416e-126
44,promo vs weekday,1.0
44,promo vs bolOpen,1.0
44,bolOpen vs weekday,1.9189480866985953e-97
44,bolHoliday vs promo,1.0
44,bolHoliday vs weekday,3.2557551920812554e-97
44,bolHoliday vs bolOpen,1.7318154159327416e-126
45,promo vs weekday,0.9966101430769535
