sku,r2,explained_variance,MAE,MSE,Median_MSE,RMSE
31,0.9980510801960558,0.9980822216654182,0.0038911104589076113,0.00011369256476687226,0.0003463203463229961,0.010662671558613829
32,0.9978686180650456,0.9979085615564928,0.0049209848009286175,0.00011592499553096301,0.0013973063973082012,0.010766847056170299
33,0.9976878895348715,0.9977143501088901,0.0037975624892997947,0.00012083432634641245,0.0002083333333333104,0.010992466799877653
34,0.9980169568529874,0.9980505108742428,0.0038904076301561844,0.00010422585674970956,7.771561172376096e-16,0.010209106559817542
35,0.9962074713324753,0.9962710949663871,0.00587987930148947,0.0002108557892095065,0.0,0.014520874257754128
36,0.9980270866063153,0.998069171209235,0.004882137048450622,0.0001291284701146025,0.000606060606060608,0.01136347086565555
37,0.9978987337022261,0.997928766985129,0.004562360897106749,0.00013658947590958496,0.00030303030303022074,0.011687150033673092
38,0.9986502069289113,0.9986664887337101,0.004243030588369953,0.00010185584101732015,0.0006565656565614697,0.010092365481755015
39,0.9971962278845138,0.9972268132875988,0.004395357173429194,0.0001599997982562189,0.0004166666666666763,0.012649102666047853
40,0.9988473457378227,0.9988551367421508,0.0033596796591146534,8.230758670037983e-05,0.00018518518518485794,0.009072352875653583
41,0.997374530024071,0.9974120786416233,0.004518570236260921,0.00015178165950643447,0.00035984848484849064,0.012319969947464746
42,0.9978044854345314,0.9978401136848715,0.004437596302003084,0.0001251802744315264,0.0,0.011188399100475742
43,0.9955620423108583,0.9956054485183813,0.006307448306036192,0.00024150571698520185,0.0009259259259299935,0.015540454207815222
44,0.9976415103272526,0.997674628457348,0.0038449283931153337,0.00013026626470866956,2.7755575615628914e-16,0.011413424758093847
45,0.9984442942029813,0.9984598556189831,0.003503375155917604,9.27501088683131e-05,3.3306690738754696e-16,0.009630685794288645
46,0.9977627154928432,0.9977900550408572,0.004619232580037663,0.0001248073088518728,0.000625,0.011171719153821974
47,0.997264542021216,0.9972992468188117,0.004724869536545833,0.00012722788641484552,0.0004938271604938272,0.011279533962662
48,0.9986021120661134,0.9986175178820949,0.0037604250739845585,8.03792063587325e-05,0.0004761904761915181,0.008965445128867417
49,0.9958998052942114,0.9959313246239482,0.004794413057125053,0.00019506027287657346,1.0269562977782698e-15,0.013966397992201621
50,0.9979340601408696,0.9979699397926313,0.004289130713918843,0.00011188638479362179,0.0003977272727272996,0.010577636068310433
