valores,score,sku,param
7,0.9628061457510025,18,max_features
1,0.8215495533921044,19,max_features
2,0.8201733897330926,19,max_features
3,0.8317892973283647,19,max_features
4,0.8307399931200695,19,max_features
5,0.8244299900326474,19,max_features
6,0.8138094382173715,19,max_features
7,0.7954343156285519,19,max_features
1,0.933284883136045,20,max_features
2,0.958509792672034,20,max_features
3,0.9726781898662016,20,max_features
4,0.9721140584274046,20,max_features
5,0.9766980706091801,20,max_features
6,0.9772230365422779,20,max_features
7,0.9742856162984596,20,max_features
1,0.9435155672927756,21,max_features
2,0.9696869312389675,21,max_features
3,0.9802242971422869,21,max_features
4,0.9855314555182604,21,max_features
5,0.9896908904600867,21,max_features
6,0.9903599117757217,21,max_features
7,0.9932419241759802,21,max_features
1,0.9125782377237099,22,max_features
2,0.9396554482264103,22,max_features
3,0.9491724860318342,22,max_features
4,0.9549430549274022,22,max_features
5,0.9588005530311224,22,max_features
6,0.9548823229005603,22,max_features
7,0.9529920727160311,22,max_features
1,0.9043038547244017,23,max_features
2,0.9218019515452849,23,max_features
3,0.9404034775120484,23,max_features
4,0.932197278688744,23,max_features
5,0.939478821075294,23,max_features
6,0.9353032168135113,23,max_features
7,0.9287888287150379,23,max_features
1,0.8732179002676771,24,max_features
2,0.8914920033881323,24,max_features
3,0.8882942520996806,24,max_features
4,0.8938975543997552,24,max_features
5,0.8872554335447133,24,max_features
6,0.8770301074664784,24,max_features
7,0.8657803386621682,24,max_features
1,0.9391553353390941,25,max_features
2,0.9660366282875043,25,max_features
3,0.9741964469436368,25,max_features
4,0.975981659263255,25,max_features
5,0.9726299278414395,25,max_features
6,0.9755507539622106,25,max_features
7,0.9727818711934237,25,max_features
1,0.903819535301329,26,max_features
2,0.9262527477304372,26,max_features
3,0.9508457481848072,26,max_features
4,0.9572181155790658,26,max_features
5,0.9561608542609695,26,max_features
6,0.9615876197071116,26,max_features
7,0.9670744326638846,26,max_features
1,0.9113483613370301,27,max_features
2,0.9371800716573913,27,max_features
3,0.9439673924492766,27,max_features
4,0.9487779040289663,27,max_features
5,0.9389749824428284,27,max_features
6,0.932466835043789,27,max_features
7,0.9350980644882049,27,max_features
1,0.9277931290994835,28,max_features
2,0.9415997080671292,28,max_features
3,0.9487091665355067,28,max_features
4,0.9465749611636186,28,max_features
5,0.9397791300018973,28,max_features
6,0.9278022618702652,28,max_features
7,0.9195389356039869,28,max_features
1,0.919091746025061,29,max_features
2,0.9508117254398031,29,max_features
3,0.9634231680137515,29,max_features
4,0.9698497704474895,29,max_features
5,0.9781171889766137,29,max_features
6,0.9790536975929722,29,max_features
7,0.9807734937766343,29,max_features
1,0.9169309052682261,30,max_features
2,0.9371630140113686,30,max_features
3,0.9477945243549374,30,max_features
4,0.9524487547688882,30,max_features
5,0.9521399739044448,30,max_features
